Company,Mission,Vision,MV
COUNTRY Financial,,, 
Covance Inc.,To help our clients bring the miracles of medicine to market sooner.,"To be recognized by clients as the undisputed leader in providing drug development services and a trusted partner whose hallmarks are great people, high quality data, and a proven track record of integrating and streamlining development processes.","To help our clients bring the miracles of medicine to market sooner. To be recognized by clients as the undisputed leader in providing drug development services and a trusted partner whose hallmarks are great people, high quality data, and a proven track record of integrating and streamlining development processes."
"Coventry Health Care, Inc.","Our mission is to provide high quality care and services to our members and to be profitable in the process. Coventry Health Care is also committed to maintaining excellence, respect, and integrity in all aspects of our operations and our professional and business conduct. We strive to reflect the highest ethical standards in our relationships with members, providers, and shareholders.","We intend to revolutionize the health care industry in our markets through innovation, technology, quality performance, and commitment to our customers and constituents. Our aim is to offer products and services that will responsibly improve the quality of life of all we serve. We will conduct our business affairs in an ethical and financially prudent manner through employee development, involvement and empowerment, while demonstrating compassion to our members and setting a standard for all others to achieve.","Our mission is to provide high quality care and services to our members and to be profitable in the process. Coventry Health Care is also committed to maintaining excellence, respect, and integrity in all aspects of our operations and our professional and business conduct. We strive to reflect the highest ethical standards in our relationships with members, providers, and shareholders. We intend to revolutionize the health care industry in our markets through innovation, technology, quality performance, and commitment to our customers and constituents. Our aim is to offer products and services that will responsibly improve the quality of life of all we serve. We will conduct our business affairs in an ethical and financially prudent manner through employee development, involvement and empowerment, while demonstrating compassion to our members and setting a standard for all others to achieve."
"Cracker Barrel Old Country Store, Inc.","our mission is to please people. Nothing more. Nothing less. And if we do that, we have more than a fair chance of success. If everyone who walks in our front door gets a warm welcome and a good meal at a fair price. If they enjoy browsing through our old country store. If everyone who works with us or whom we do business with is treated fairly and with respect. If we do all those things, well, then we figure the business will take care of itself. And fortunately, so far, it has.",,"our mission is to please people. Nothing more. Nothing less. And if we do that, we have more than a fair chance of success. If everyone who walks in our front door gets a warm welcome and a good meal at a fair price. If they enjoy browsing through our old country store. If everyone who works with us or whom we do business with is treated fairly and with respect. If we do all those things, well, then we figure the business will take care of itself. And fortunately, so far, it has. "
Crane Co.,,, 
Crown Castle International Corp.,Help our customers efficiently cover every part of the United States with their networks.,"To deliver the highest level of service to our customers at all times  striving to be their critical partner as we assist them in growing efficient, ubiquitous wireless networks.","Help our customers efficiently cover every part of the United States with their networks. To deliver the highest level of service to our customers at all times  striving to be their critical partner as we assist them in growing efficient, ubiquitous wireless networks."
"Crown Holdings, Inc.","Customer satisfaction is Crown’s highest priority. We achieve this goal by continuously improving the cost effectiveness and performance of all our products and processes, as well as focusing on innovation.","To be the corporate leader, guiding and inspiring the most innovative Crown sector in Canada.","Customer satisfaction is Crown’s highest priority. We achieve this goal by continuously improving the cost effectiveness and performance of all our products and processes, as well as focusing on innovation. To be the corporate leader, guiding and inspiring the most innovative Crown sector in Canada."
CSX Corporation,To capitalize on the efficiency of rail transportation to serve America.,"To be the safest, most progressive North American railroad, relentless in the pursuit of customer and employee excellence.","To capitalize on the efficiency of rail transportation to serve America. To be the safest, most progressive North American railroad, relentless in the pursuit of customer and employee excellence."
Cummins Inc.,"Motivating people to act like owners working together. Exceeding customer expectations by always being first to market with the best products. Partnering with our customers to make sure that they succeed. Demanding that everything we do leads to a cleaner, healthier, safer environment. Creating wealth for all stakeholders.",Making people's lives better by unleashing the Power of Cummins.,"Motivating people to act like owners working together. Exceeding customer expectations by always being first to market with the best products. Partnering with our customers to make sure that they succeed. Demanding that everything we do leads to a cleaner, healthier, safer environment. Creating wealth for all stakeholders. Making people's lives better by unleashing the Power of Cummins."
Curtiss-Wright Corporation,To build a partnership with our customers by providing solutions that have profound impact and enable them to achieve their core objectives.,"Prioritizes the customer to ensure that we continue to deliver state-of-the-art, reliable solutions. ","To build a partnership with our customers by providing solutions that have profound impact and enable them to achieve their core objectives. Prioritizes the customer to ensure that we continue to deliver state-of-the-art, reliable solutions. "
CVS Caremark Corporation,"Mission Is to improve the lives of those we serve bymaking innovative and high-quality health and pharmacy services safe, affordable and easy to access.",We strive to improve the quality of human life.,"Mission Is to improve the lives of those we serve bymaking innovative and high-quality health and pharmacy services safe, affordable and easy to access. We strive to improve the quality of human life."
Cytec Industries Inc.,"To enhance shareholder value based on our vision and values. This in turn will lead to double-digit percentage growth in earnings per share, and a superior return on equity.","Delivering Technology Beyond Our Customers’ Imagination® As a result, we will: • Achieve sustainable and profitable growth • Provide a culture that challenges, engages and rewards our employees • Be universally recognized as the technology leader in our markets • Positively impact society.","To enhance shareholder value based on our vision and values. This in turn will lead to double-digit percentage growth in earnings per share, and a superior return on equity. Delivering Technology Beyond Our Customers’ Imagination® As a result, we will: • Achieve sustainable and profitable growth • Provide a culture that challenges, engages and rewards our employees • Be universally recognized as the technology leader in our markets • Positively impact society."
"D.R. Horton, Inc.","Dedicated to building quality crafted, distinctive homes across the United States.",To be a National Leader in the residential home building industry.,"Dedicated to building quality crafted, distinctive homes across the United States. To be a National Leader in the residential home building industry."
Dana Holding Corporation,,"Our vision is for Dana to operate efficiently as one integrated company focused on growing our core light and heavy-drive train products, structures, thermal and sealing businesses. This refocused product array will help us better support our global automotive, commercial vehicle, and off-highway markets.our vision also includes achieving much stronger cost and operating levels, which will enable us to prosper and grow."," Our vision is for Dana to operate efficiently as one integrated company focused on growing our core light and heavy-drive train products, structures, thermal and sealing businesses. This refocused product array will help us better support our global automotive, commercial vehicle, and off-highway markets.our vision also includes achieving much stronger cost and operating levels, which will enable us to prosper and grow."
Danaher Corporation,"We base our strategic plan on the Voice-of-the-Customer. Robust, repeatable processes yield superior Quality, Delivery, and Cost that satisfy our customers beyond their expectations.","We fully intend to grow Danaher at an accelerated rate. Acquisitions that strengthen existing businesses and establish new platforms will be the priority. However, size alone is not our objective. We are aggressively pursuing our goal to build an outstanding team, a high quality portfolio and a sustainable DBS -based business model achieving superior and sustainable financial results. That's our vision of the future the vision we're aggressively pursuing as we work to make Danaher a premier global enterprise.","We base our strategic plan on the Voice-of-the-Customer. Robust, repeatable processes yield superior Quality, Delivery, and Cost that satisfy our customers beyond their expectations. We fully intend to grow Danaher at an accelerated rate. Acquisitions that strengthen existing businesses and establish new platforms will be the priority. However, size alone is not our objective. We are aggressively pursuing our goal to build an outstanding team, a high quality portfolio and a sustainable DBS -based business model achieving superior and sustainable financial results. That's our vision of the future the vision we're aggressively pursuing as we work to make Danaher a premier global enterprise."
"Darden Restaurants, Inc.","We take pride in providing a terrific dining experience to every guest, every time, in every one of our restaurants. That is how we will be the best company in casual dining, now and for generations.","Our vision is to be a company that positively affects meaningfully more guests, employees, communities and business partners  a company that matters even more than we do today.","We take pride in providing a terrific dining experience to every guest, every time, in every one of our restaurants. That is how we will be the best company in casual dining, now and for generations. Our vision is to be a company that positively affects meaningfully more guests, employees, communities and business partners  a company that matters even more than we do today."
DaVita HealthCare Partners Inc.,"To be the Provider, Partner and Employer of Choice.",To Build the Greatest Healthcare Community the World has Ever Seen.,"To be the Provider, Partner and Employer of Choice. To Build the Greatest Healthcare Community the World has Ever Seen."
Dean Foods Company,"The Company's primary objective is to maximize long-term stockholder value, while adhering to the laws of the jurisdictions in which it operates and at all times observing the highest ethical standards.","The future, strong commitment to sustainable business practices and healthy approach to growing our business, we are poised to continue to deliver reliable, consistent growth.","The Company's primary objective is to maximize long-term stockholder value, while adhering to the laws of the jurisdictions in which it operates and at all times observing the highest ethical standards. The future, strong commitment to sustainable business practices and healthy approach to growing our business, we are poised to continue to deliver reliable, consistent growth."
Deere & Company,"Double and Double Again the John Deere Experience of Genuine Value for Employees, Customers, and Shareholders."" This will be accomplished by rapidly expanding global customer coverage on the farmsite, worksite, homesite, and turfsite by being first in creating smart and innovative customer solutions through machines, service, and concepts. The company's business strategies of Running Smart, Running Fast, and Running Lean will help John Deere achieve its mission.","Achieve excellence in the minds of our customers, team members, and John Deere.","Double and Double Again the John Deere Experience of Genuine Value for Employees, Customers, and Shareholders."" This will be accomplished by rapidly expanding global customer coverage on the farmsite, worksite, homesite, and turfsite by being first in creating smart and innovative customer solutions through machines, service, and concepts. The company's business strategies of Running Smart, Running Fast, and Running Lean will help John Deere achieve its mission. Achieve excellence in the minds of our customers, team members, and John Deere."
Del Monte Corporation,"To bring to life health and wellness -> 1.We live up to our heritage of growing premium quality food and beverage brands which are the top choice of all generations for enjoyable and healthy living. 2.We leverage deep market knowledge coupled with technology and innovation to create and deliver relevant health and wellness breakthroughs to our broad base of customers. 3.We continuously build on our knowledge and experience in agriculture, while enhancing the sustainability of the lands we cultivate. 4.We adhere to the highest standards of corporate behavior in our relationships with our employees, business partners, and the communities around us. 5.We are a benchmark in corporate social responsibility and the preservation of the environment. 6.We build a highly energized, high-performance organization with a strong commitment to teamwork and to embracing better ways of doing things. 7.We value our people and commit to provide opportunities for learning, professional growth and a better quality of life.",To be one of the fastest growing global branded food and beverage companies.,"To bring to life health and wellness -> 1.We live up to our heritage of growing premium quality food and beverage brands which are the top choice of all generations for enjoyable and healthy living. 2.We leverage deep market knowledge coupled with technology and innovation to create and deliver relevant health and wellness breakthroughs to our broad base of customers. 3.We continuously build on our knowledge and experience in agriculture, while enhancing the sustainability of the lands we cultivate. 4.We adhere to the highest standards of corporate behavior in our relationships with our employees, business partners, and the communities around us. 5.We are a benchmark in corporate social responsibility and the preservation of the environment. 6.We build a highly energized, high-performance organization with a strong commitment to teamwork and to embracing better ways of doing things. 7.We value our people and commit to provide opportunities for learning, professional growth and a better quality of life. To be one of the fastest growing global branded food and beverage companies."
Dell Inc.,"Our mission is to be the most successful IT systems company in the world by delivering the best customer experience in all markets we serve. In doing so, Dell will meet customer expectations of highest quality , leading technology, competitive pricing, individual and company accountability best-in-class service and support, flexible customization capability, superior corporate citizenship",Dell is committed to being a good neighbor in the communities we call home. We must continue to grow responsibly  protecting our natural resources and practicing sustainability in all its forms and improve the communities where we live and work through our financial and volunteer efforts.,"Our mission is to be the most successful IT systems company in the world by delivering the best customer experience in all markets we serve. In doing so, Dell will meet customer expectations of highest quality , leading technology, competitive pricing, individual and company accountability best-in-class service and support, flexible customization capability, superior corporate citizenship Dell is committed to being a good neighbor in the communities we call home. We must continue to grow responsibly  protecting our natural resources and practicing sustainability in all its forms and improve the communities where we live and work through our financial and volunteer efforts."
"Delta Air Lines, Inc.","Employees, customers, and community partners together form a force for positive local and global change, dedicated to bettering standards of living and the environment where we and our customers live and work."," our company has stood for safe and reliable air transportation, distinctive customer service, and hospitality from the heart. Our vision is for Delta to build on its traditions and always to meet our customers' expectations while taking service to even higher levels of excellence. We are a leader in a business we know best airline transportation. We intend to be an even greater company and will focus our time, attention, and investment on building that leadership. We are dedicated to being the best airline in the eyes of our customers. We will provide value and distinctive products to our customers, a superior return for investors, and challenging and rewarding work for Delta people in an environment that respects and values their contributions.","Employees, customers, and community partners together form a force for positive local and global change, dedicated to bettering standards of living and the environment where we and our customers live and work.  our company has stood for safe and reliable air transportation, distinctive customer service, and hospitality from the heart. Our vision is for Delta to build on its traditions and always to meet our customers' expectations while taking service to even higher levels of excellence. We are a leader in a business we know best airline transportation. We intend to be an even greater company and will focus our time, attention, and investment on building that leadership. We are dedicated to being the best airline in the eyes of our customers. We will provide value and distinctive products to our customers, a superior return for investors, and challenging and rewarding work for Delta people in an environment that respects and values their contributions."
"Delta Tucker Holdings, Inc.",,, 
Denbury Resources Inc.,,, 
DENTSPLY International Inc.,"Deliver solutions ""For Better Dentistry"" that benefit practitioners and patients everywhere, optimizing our global resources to lead the industry in innovation, quality, and service.",,"Deliver solutions ""For Better Dentistry"" that benefit practitioners and patients everywhere, optimizing our global resources to lead the industry in innovation, quality, and service. "
Devon Energy Corporation,"To be a results oriented oil and gas company that builds value for its shareholders through its employees by creating an atmosphere of optimism, teamwork, creativity, resourcefulness and by dealing with everyone in an open and ethical manner.","The company's portfolio of oil and gas properties provides stable, environmentally responsible production and a platform for future growth. ","To be a results oriented oil and gas company that builds value for its shareholders through its employees by creating an atmosphere of optimism, teamwork, creativity, resourcefulness and by dealing with everyone in an open and ethical manner. The company's portfolio of oil and gas properties provides stable, environmentally responsible production and a platform for future growth. "
DeVry Inc.,Empower our students to achieve their educational and career goals.,"Become the leading global provider of career-oriented educational services. We will create value for society and all our stakeholders by offering: superior, responsive educational programs, that are supported by exceptional service to students, and delivered with integrity and accountability.","Empower our students to achieve their educational and career goals. Become the leading global provider of career-oriented educational services. We will create value for society and all our stakeholders by offering: superior, responsive educational programs, that are supported by exceptional service to students, and delivered with integrity and accountability."
"Dick's Sporting Goods, Inc.",To be recognized by our customers as a #1sports fitness specialty omni channel retailerthat serves and inspires athlete and outdoor enthusiasts to achieve their personal best.,To the community and the growth of sports is a perfect match for what Dick's Sporting Goods Park represents.,To be recognized by our customers as a #1sports fitness specialty omni channel retailerthat serves and inspires athlete and outdoor enthusiasts to achieve their personal best. To the community and the growth of sports is a perfect match for what Dick's Sporting Goods Park represents.
"Diebold, Incorporated","We deliver innovative technology and services that make businesses better through a powerful combination of: customer knowledge, inspired thinking and attentive associates,"" reflects the philosophy of the company's founder.","To be recognized as an essential partner in creating and implementing ideas that optimize convenience, efficiency and security.","We deliver innovative technology and services that make businesses better through a powerful combination of: customer knowledge, inspired thinking and attentive associates,"" reflects the philosophy of the company's founder. To be recognized as an essential partner in creating and implementing ideas that optimize convenience, efficiency and security."
"Dillard's, Inc.",The Company focuses on delivering maximum fashion and value to its shoppers by offering compelling apparel and home selections complemented by exceptional customer care.,,The Company focuses on delivering maximum fashion and value to its shoppers by offering compelling apparel and home selections complemented by exceptional customer care. 
DIRECTV,"Combine compelling and diverse content, technology and service to make DIRECTV a clear choice among consumers Latin America.",Make the best VIDEO experience anytime and anywhere you want it in both the United States and Latin America. ,"Combine compelling and diverse content, technology and service to make DIRECTV a clear choice among consumers Latin America. Make the best VIDEO experience anytime and anywhere you want it in both the United States and Latin America. "
Discover Financial Services,"To help people spend smarter, manage debt better and save more so they achieve a brighter financial future.",To be the most rewarding relationship consumers and businesses have with a financial services company.,"To help people spend smarter, manage debt better and save more so they achieve a brighter financial future. To be the most rewarding relationship consumers and businesses have with a financial services company."
"Discovery Communications, Inc.","Discovery is dedicated to satisfying curiosity, engaging and entertaining viewers with high-quality content on worldwide television networks, led by Discovery Channel, TLC, Animal Planet, Investigation Discovery and Science, as well as U.S. joint venture network OWN: Oprah Winfrey Network. ","To satisfy curiosity and make a difference in people's lives by providing the highest quality content, services and products that entertain, engage and enlighten.","Discovery is dedicated to satisfying curiosity, engaging and entertaining viewers with high-quality content on worldwide television networks, led by Discovery Channel, TLC, Animal Planet, Investigation Discovery and Science, as well as U.S. joint venture network OWN: Oprah Winfrey Network.  To satisfy curiosity and make a difference in people's lives by providing the highest quality content, services and products that entertain, engage and enlighten."
DISH Network Corporation,To provide quality products through a world class sales organization to every home in America. ,,To provide quality products through a world class sales organization to every home in America.  
"Dole Food Company, Inc.","To supplying the consumer and our customers with the finest, high-quality products and to leading the industry in nutrition research and education.","To lead the industry in nutrition research and education.Goals with a corporate philosophy of adhering to the highest ethical conduct in all its business dealings, treatment of its employees, and social and environmental policies.","To supplying the consumer and our customers with the finest, high-quality products and to leading the industry in nutrition research and education. To lead the industry in nutrition research and education.Goals with a corporate philosophy of adhering to the highest ethical conduct in all its business dealings, treatment of its employees, and social and environmental policies."
Dollar General Corporation,Serving : For Customers-A Better Life; For Shareholders-A Superior Return; For Employees-Respect and Opportunity.,"Demonstrating integrity in everything we do ,Providing employees the opportunity for growth and development, in a friendly and fun environment , Delivering results through hard work and a shared commitment to excellence , Celebrating success and recognizing the contribution of others  Owning our actions and decisions and learning from our mistakes , Respecting the dignity and difference of others.","Serving : For Customers-A Better Life; For Shareholders-A Superior Return; For Employees-Respect and Opportunity. Demonstrating integrity in everything we do ,Providing employees the opportunity for growth and development, in a friendly and fun environment , Delivering results through hard work and a shared commitment to excellence , Celebrating success and recognizing the contribution of others  Owning our actions and decisions and learning from our mistakes , Respecting the dignity and difference of others."
"Dollar Tree, Inc.","For Customers... Price Quality, and Great Prices. For Employees... Respect and Opportunity For Shareholders... A Superior Return For Communities... A Better Life","Dollar Tree, Inc. is a customer-oriented, value-driven variety store operating at a one dollar price point. We will operate profitably, empower our associates to share in its opportunities, rewards and successes; and deal with others in an honest and considerate way. The company's mission will be consistent with measured and profitable growth.","For Customers... Price Quality, and Great Prices. For Employees... Respect and Opportunity For Shareholders... A Superior Return For Communities... A Better Life Dollar Tree, Inc. is a customer-oriented, value-driven variety store operating at a one dollar price point. We will operate profitably, empower our associates to share in its opportunities, rewards and successes; and deal with others in an honest and considerate way. The company's mission will be consistent with measured and profitable growth."
"Dominion Resources, Inc.","To be a leading provider of electricity, natural gas and related services to customers in the energy-intensive Midwest, Mid-Atlantic and Northeast regions of the U.S., a potential market of 50 million homes and businesses where 40 percent of the nation’s energy is consumed.","Continue to operate and grow to an even more substantial position as a profitable natural gas and electric power company serving customers in America’s most energy-intensive market: the Mid-Atlantic, Northeast and Midwest. The region comprises about a quarter of the nation’s landmass, but it accounts for about 40 percent of the energy consumed.","To be a leading provider of electricity, natural gas and related services to customers in the energy-intensive Midwest, Mid-Atlantic and Northeast regions of the U.S., a potential market of 50 million homes and businesses where 40 percent of the nation’s energy is consumed. Continue to operate and grow to an even more substantial position as a profitable natural gas and electric power company serving customers in America’s most energy-intensive market: the Mid-Atlantic, Northeast and Midwest. The region comprises about a quarter of the nation’s landmass, but it accounts for about 40 percent of the energy consumed."
Domtar Corporation,"We deliver the highest value to our customers, empower our employees to excel, and positively impact our communities.","To be the leader in innovating fiber-based products, technologies, and services; committed to a sustainable and better future.","We deliver the highest value to our customers, empower our employees to excel, and positively impact our communities. To be the leader in innovating fiber-based products, technologies, and services; committed to a sustainable and better future."
"Donaldson Company, Inc.","Three key words convey our mission: improve, enhance and protect. These are powerful words and they help us set our priorities for the future. We provide our Customers with solutions that improve people’s lives, enhance equipment performance and protect the environment. ",To Lead the World in Filtration Solutions.,"Three key words convey our mission: improve, enhance and protect. These are powerful words and they help us set our priorities for the future. We provide our Customers with solutions that improve people’s lives, enhance equipment performance and protect the environment.  To Lead the World in Filtration Solutions."
Dover Corporation,"Dover Environmental is a diverse team of exceptional, talented and creative people committed to providing best value services, delivered on time, while maintaining a standard of excellence in quality and workmanship. Safety - We are fully dedicated to the safety of all our employees and subcontractors. Safety and hazard awareness is a continual practice that is put first and foremost. Integrity, Honesty and Ethics –  These are the core principles that our team has been built on. We are held accountable on and off the jobsite and understand that our individual representation is that of our collective representation. We deem this to be the backbone of our success. Quality –  We pledge that the extra steps will always be taken to ensure the best quality of workmanship in each detail no matter how small. Sustainability -  We are consistently pursuing and improving on the latest advancements in conservation techniques and technology to ensure the responsible expenditure of resources.",Not Defind Exiplicitly.,"Dover Environmental is a diverse team of exceptional, talented and creative people committed to providing best value services, delivered on time, while maintaining a standard of excellence in quality and workmanship. Safety - We are fully dedicated to the safety of all our employees and subcontractors. Safety and hazard awareness is a continual practice that is put first and foremost. Integrity, Honesty and Ethics –  These are the core principles that our team has been built on. We are held accountable on and off the jobsite and understand that our individual representation is that of our collective representation. We deem this to be the backbone of our success. Quality –  We pledge that the extra steps will always be taken to ensure the best quality of workmanship in each detail no matter how small. Sustainability -  We are consistently pursuing and improving on the latest advancements in conservation techniques and technology to ensure the responsible expenditure of resources. Not Defind Exiplicitly."
"Dr Pepper Snapple Group, Inc.","To reflects and builds upon our position as the leading flavored beverage business in the U.S. Accordingly, we focus on ->  Building and enhancing our leading brands Pursuing profitable channels, packages and categories Leveraging our integrated business models Strengthening our route to market Improving operating efficiency.",To be the best beverage business in the Americas.,"To reflects and builds upon our position as the leading flavored beverage business in the U.S. Accordingly, we focus on ->  Building and enhancing our leading brands Pursuing profitable channels, packages and categories Leveraging our integrated business models Strengthening our route to market Improving operating efficiency. To be the best beverage business in the Americas."
Dresser-Rand Group Inc.,"To provide the most reliable and efficient rotating equipment technology and service solutions and lead in safety, environmental stewardship, quality, and cycle time.",To earn client loyalty for life.,"To provide the most reliable and efficient rotating equipment technology and service solutions and lead in safety, environmental stewardship, quality, and cycle time. To earn client loyalty for life."
"DST Systems, Inc.",It is our mission to be a world-class global sourcing organization committed to delivering quality business solutions and multi-faceted services.,,It is our mission to be a world-class global sourcing organization committed to delivering quality business solutions and multi-faceted services. 
DSW Inc.,,"To be the retailer of choice for branded footwear and accessories, by exceeding customers' expectations for selection, convenience and value."," To be the retailer of choice for branded footwear and accessories, by exceeding customers' expectations for selection, convenience and value."
DTE Energy Company,"DTE Energy will be a premier, full-service, energy and energy technology company providing solutions to meet the needs of 21st century customers. We will operate as a fast-paced, progressive, high-performance, value-based organization.",To establish DTE Energy as the premier regional integrated energy company by providing sustained earnings growth.,"DTE Energy will be a premier, full-service, energy and energy technology company providing solutions to meet the needs of 21st century customers. We will operate as a fast-paced, progressive, high-performance, value-based organization. To establish DTE Energy as the premier regional integrated energy company by providing sustained earnings growth."
Duke Energy Corporation,"we make people’s lives better by providing gas and electric services in a sustainable way affordable, reliable and clean. This requires us to constantly look for ways to improve, to grow and to reduce our impact on the environment.","Our purpose is to create superior value for our customers, employees, communities and investors through the production, conversion, delivery and sale of energy and energy services.","we make people’s lives better by providing gas and electric services in a sustainable way affordable, reliable and clean. This requires us to constantly look for ways to improve, to grow and to reduce our impact on the environment. Our purpose is to create superior value for our customers, employees, communities and investors through the production, conversion, delivery and sale of energy and energy services."
E*Trade Financial Corporation,,"To become the a leading and complete financial support and execution portal for individuals, by diversifying and offering every service you need in your financial life, with access to your accounts anytime, anywhere in the whole world. "," To become the a leading and complete financial support and execution portal for individuals, by diversifying and offering every service you need in your financial life, with access to your accounts anytime, anywhere in the whole world. "
E.I. du Pont de Nemours and Company,"Put science to work by creating sustainable solutions essential to a better, safer, healthier life for people everywhere.","To be the world's most dynamic science company, creating sustainable solutions essential to a better, safer and healthier life for people everywhere.","Put science to work by creating sustainable solutions essential to a better, safer, healthier life for people everywhere. To be the world's most dynamic science company, creating sustainable solutions essential to a better, safer and healthier life for people everywhere."
Eastman Chemical Company,We strive for quality in everything we do – from producing products to building relationships. And we are committed to operating safely while protecting people and the environment.,To be an outperforming chemical company.,We strive for quality in everything we do – from producing products to building relationships. And we are committed to operating safely while protecting people and the environment. To be an outperforming chemical company.
Eastman Kodak Company,1. Fully engage the energies of Kodak's employees. 2. Meet competitive challenges in the marketplace. 3. Maximize shareholder value.,Inclusive environment in which we leverage diversity to achieve company business objectives and maximize the potential of individuals and the organization.,1. Fully engage the energies of Kodak's employees. 2. Meet competitive challenges in the marketplace. 3. Maximize shareholder value. Inclusive environment in which we leverage diversity to achieve company business objectives and maximize the potential of individuals and the organization.
eBay Inc.,To provide a global trading platform where practically anyone can trade practically anything.,To become a global leader in online auction market.,To provide a global trading platform where practically anyone can trade practically anything. To become a global leader in online auction market.
EchoStar Corporation,,, 
Ecolab Inc.," Our mission is to be the leading global innovator, developer and provider of cleaning, sanitation and maintenance products, systems, and services. As a team, we will achieve aggressive growth and fair return for our shareholders. We will accomplish this by exceeding the expectations of our customers while conserving resources and preserving the quality of the environment.","Our vision keeps us focused on what we strive for to be the global leader in water, hygiene and energy technologies and services; providing and protecting what is vital: clean water, safe food, abundant energy and healthy environments."," Our mission is to be the leading global innovator, developer and provider of cleaning, sanitation and maintenance products, systems, and services. As a team, we will achieve aggressive growth and fair return for our shareholders. We will accomplish this by exceeding the expectations of our customers while conserving resources and preserving the quality of the environment. Our vision keeps us focused on what we strive for to be the global leader in water, hygiene and energy technologies and services; providing and protecting what is vital: clean water, safe food, abundant energy and healthy environments."
Edgen Group Inc.,,, 
Edison International,Our companies include one of the nation’s largest electric utilities and providers of industrial and commercial energy services nationwide.,"Our vision is captured in the phrase 'Leading the Way in Electricity'. Supporting this vision are our values of integrity, excellence, respect, continuous improvement and teamwork, which guide our work everyday. Our vision and values can be seen in our purchases of more renewable energy than any other utility nationwide, our national leadership in energy efficiency programs and our exceptional service reliability. In addition, Edison is one of the most honored companies for workplace and supplier diversity, and has one of American’s most generous work forces through the employee volunteerism and community support campaigns.  ","Our companies include one of the nation’s largest electric utilities and providers of industrial and commercial energy services nationwide. Our vision is captured in the phrase 'Leading the Way in Electricity'. Supporting this vision are our values of integrity, excellence, respect, continuous improvement and teamwork, which guide our work everyday. Our vision and values can be seen in our purchases of more renewable energy than any other utility nationwide, our national leadership in energy efficiency programs and our exceptional service reliability. In addition, Edison is one of the most honored companies for workplace and supplier diversity, and has one of American’s most generous work forces through the employee volunteerism and community support campaigns.  "
Education Management Corporation,"Education that build careers and trnsforms the lives of those who teach, learn and work here.",Helping student to achieve their goal across the full spectrum of in-demand carrers.,"Education that build careers and trnsforms the lives of those who teach, learn and work here. Helping student to achieve their goal across the full spectrum of in-demand carrers."
Edwards Lifesciences Corporation,We are dedicated to providing innovative solutions for the people fighting cardiovascular disease.,"Helping patients is our lifes work, and life is Now.","We are dedicated to providing innovative solutions for the people fighting cardiovascular disease. Helping patients is our lifes work, and life is Now."
Electronic Arts Inc.,We are an association of electronic artists who share a common goal. We want to fulfill the potential of personal computing.,,We are an association of electronic artists who share a common goal. We want to fulfill the potential of personal computing. 
Eli Lilly and Company,"We pursue pharmaceutical innovation, provide high-quality products, and strive to deliver superior business results. We continually search for new ways to improve everything we do.",We will make a significant contribution to humanity by improving global health in the 21st century.,"We pursue pharmaceutical innovation, provide high-quality products, and strive to deliver superior business results. We continually search for new ways to improve everything we do. We will make a significant contribution to humanity by improving global health in the 21st century."
EMC Corporation,"To be a global provider of outstanding, end-to-end integrated solutions in transmission lines, sub- stations, industrial power distribution projects and railway infrastructure projects through best-in-class technology, supported by experienced professionals, thereby enhancing scalability, providing clean energy, expanding business and empowering lives. ",Setting the standard of excellence in modern power systems globally.,"To be a global provider of outstanding, end-to-end integrated solutions in transmission lines, sub- stations, industrial power distribution projects and railway infrastructure projects through best-in-class technology, supported by experienced professionals, thereby enhancing scalability, providing clean energy, expanding business and empowering lives.  Setting the standard of excellence in modern power systems globally."
"EMCOR Group, Inc.","EMCOR gives life to new structures and sustains life in existing ones by planning, installing, operating and maintaining the sophisticated systems that create facility environments–such as electrical, mechanical, lighting, heating, security, communications and power generation systems–in virtually every sector of the economy and for a diverse range of businesses around the world. ",To deliver sustainable value and to be admired by those whose lives we touch.,"EMCOR gives life to new structures and sustains life in existing ones by planning, installing, operating and maintaining the sophisticated systems that create facility environments–such as electrical, mechanical, lighting, heating, security, communications and power generation systems–in virtually every sector of the economy and for a diverse range of businesses around the world.  To deliver sustainable value and to be admired by those whose lives we touch."
Emergency Medical Services Corporation,,, 
Emerson Electric Co.,"Where technology and engineering come together to create solutions for the benefit of our customers, driven without compromise for a world in action.  ",,"Where technology and engineering come together to create solutions for the benefit of our customers, driven without compromise for a world in action.   "
"Enbridge Energy Partners, L.P.",1. Increase Operational Efficiency -> Develop operating synergies through cost reductions and the application of new technologies. 2. Optimize Customer Relationships -> Work proactively with customers to secure mutually beneficial transportation agreement.,"To go beyond by building on our pipeline expertise, technology and people to be the company of choice.","1. Increase Operational Efficiency -> Develop operating synergies through cost reductions and the application of new technologies. 2. Optimize Customer Relationships -> Work proactively with customers to secure mutually beneficial transportation agreement. To go beyond by building on our pipeline expertise, technology and people to be the company of choice."
