doc,text
321,"@USAirways flt 419. 2+ hrs Late Flight, baggage + 1 more hr. Now I see they delivered my suitcase wet inside &amp; out. #NotHappy"
322,@USAirways Hooray! I've now been on hold for over an hour. I've never loved Southwest more.
323,@SouthwestAir Yes but they couldn't explain the 2 hour and 45 minute hold time.
324,@united is z and d code airfare refundable?
325,@USAirways My brother &amp; his family stranded in CLT tonight bc gate E36 agent wouldn't hold plane for two minutes. Now driving in bad weather
326,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
327,@JetBlue what's the status of flight 1272 diverted to RIC?  When will it depart back for LGA?
328,@united would love help getting there today. In #EWR now. Will take any airline and connections. Thx
329,@AmericanAir instead they yelled at him and told him to call a number that will not pick up due to call volume
330,"@USAirways the gate agent said ""it's booked in full. Sorry"" I had a ticket with a 1st class seat. I will call customer service when I land."
331,@SouthwestAir thanks for the follow up. So glad to get my bag back.
332,@JetBlue ticket issued whilst delivering your customers.
333,@USAirways your new seat assignment service is an embarrassment to airlines and customers worldwide. #shameonyou #usairwayssucks
334,@united what is going on with baggage claim in Newark!#tiredandwanttogohome
335,"@SouthwestAir haha, thanks for the explanation"
336,@VirginAmerica plus you've added commercials to the experience... tacky.
337,@USAirways I did at 7 pm! Still no bag..
338,@USAirways depart from where? It departed PHX and was due to land at DCA around 8pm.
339,"@united I understand the intention, but it pales in comparison to a day of lost wages for both my wife and I because of the delay."
340,"@USAirways was on hd for 1hr and 3min at 3:00am since my flgt  from DCA to MSY was Cancelled Flightled, still trying to get out. On hold now 50minssss"
341,@USAirways on hold for 1 hour and 14 min trying to find the luggage flight Cancelled Flightled where is luggage? http://t.co/i1SfMI7zat
342,"@SouthwestAir Yes - with extra $77. I wonder what are you going yo loose, if there is room."
343,@SouthwestAir Boooo!!!!!!   Don't be like the other airlines!!  http://t.co/WHAGPknnLF
344,@united my partner and I booked individual reservations for same flight. I have Pr. Silver -- can he share my premier privileges somehow?
345,@USAirways Your exchange/credit policies are worthless and shadier than the White House. Dissatisfied to the nines right now.
346,@united Great! I'm ready to go home.
347,@united Terminal 1 gate B3. Flt 1299. Then take her to Terminal 5. Gate M13. Swiss Air LX009
348,"@united I'm on one of your 757-300 between JFK and LAX.When r u upgrading planes?Plane has no Screens,lousy seats And that's in UnitedFirst."
349,"@USAirways was on hold for four hours, never got connected. Came to the airport and your rep essentially told me and everyone else to screw"
350,"@AmericanAir we are waiting flight 919 !
We are at JFK for about 24h !! #NewYork #919 #viracopos #AmericanAirlines http://t.co/3FheS0lPMU"
351,"@AmericanAir @sa_craig no, not helped one bit. actually ended up driving home due to extreme disorganization and lack of communication."
352,"@united @baldordash Rebooked,arrived 8 hours Late Flightr.  Last year 9 hrs to San Diego and the no inflight entertainment!"
353,"@AmericanAir you Cancelled Flightled my flight due to ""weather"" when others are flying out just fine.  No compensation, no resolution.  Incompetent."
354,@AmericanAir missing a full days of work thanks guys
355,@AmericanAir Here is the photo ;) http://t.co/VMqUURZUpW
356,"@AmericanAir just look at RDU airport. please think about the safety of your passengers. we cant get to RDU safely!

http://t.co/wDyEkVB1Ze"
357,@united this is me and my partners first trip to #NYC I bought the tickets at the same time Please seat us next to each other ConF# ILC0HP
358,"@united you better hold my flight to Tucson #5237, just landed in Houston after an hour delay for some minor computer problem"
359,@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer
360,"@USAirways Been on hold for over 5 hours! I believe I was overcharged $200 for my flight, I need an immediate explanation. HELP"
361,@SouthwestAir give me tickets to the atlanta show and I'll roadtrip from Canada!! Deal? 😆
362,@JetBlue nope. None to be found
363,"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd"
364,@USAirways couldn't be more thankful to your #orf and #dca crews on the ground and in the air today for help with a sick kid and a lost bag!
365,@SouthwestAir would be cool if the best airlines company hooked me up with @Imaginedragons tickets for Vegas ;)
366,@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......
367,@SouthwestAir this is ridiculous. It's been 2 hours on hold to rebook Cancelled Flightled flight.
368,"@USAirways why don't you hire people to deal with the call volume, this is absolute garbage #incompetent"
369,"@SouthwestAir also, they said they couldn't even book the flight. They were having to put me on hold &amp; have someone else do it???"
370,@JetBlue thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac... #worst
371,@United yall tried it with this little bitty plane flying out of boston!! I hate little planes!!!
372,"@AmericanAir even followed me, but I still can't get them to answer their phones. Worst. Customer ""service"". Ever. #customerservice #fail"
373,"@USAirways check in at St. Louis is so rude, even the TSA is nicer than them."
374,@JetBlue love you guys. You know that. But I paid for prem. wifi toplay @vainglorygame. No go. Ping terrible / up too http://t.co/CmjRIWOP7O
375,@AmericanAir at some point u need to tell passengers what is going on. At Jfk waiting to get on flight it is a mess.
376,@united I have already emailed but I didn't know if it was more expedient to contact you here. Please advise. Thanks.
377,@AmericanAir or at the very least an explanation on why no one told me my flight was Cancelled Flightled!
378,@AmericanAir how can I get you guys to respond to my tweets and DM??? Really sad feeling to be ignored.
379,"@USAirways u would think if u were going to Cancelled Flight my flight, you'd rebook our seats to something other than the last row. #usairwaysfail"
380,"@SouthwestAir, thanks for being so good to us #military folk. It's cold in #StLouis but I sure enjoyed my flight. http://t.co/RcdH183Q1J"
381,@JetBlue thank you guys! You are the best! 🙌✈️
382,"@JetBlue the one man in baggage office says ""I dunno"". HELP"
383,@AmericanAir Flight attendant #YeseniaHernandez provided excellent service among peculiar conditions throughout the day ✈ :-)
384,@AmericanAir no email no phone call no nothing. You've screwed with my flight and my family/Friends flights. You Cancelled Flighted reservations for
385,"@AmericanAir just went to check into flight 24 hr advance, again husband and I are seated separately for 6hr flight! why does this happen??"
386,@JetBlue Thank you for the service credit. And to @PamGrout for positive thoughts.
387,"@AmericanAir every time I try to call, it tells me to try again Late Flightr and just hangs up."
388,@usairways and @american please get my plane together before I go to Jetblue
389,@united A generic form with tons of fields asking for info you already?  Expected more as a premier platinum. Another #servicefail
390,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
391,@USAirways issues are not with people who r nice or storm emails with wrong phone numbers auto rebooked flights to non connecting cities
392,@AmericanAir you have to run the engine to troubleshoot an issue before boarding the plane!?! How about another plane? #aa2227 #miatoiah
393,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos."
394,"@united do u serve peanuts/nuts on yr flights yr policies r confusing contradictory advice Pls help #Anaphylaxis,will u ask those 2 refrain?"
395,@united We waited 40 min for our bags after a 45 min flight #nomorecheckedbags
396,@JetBlue is the greatest airline ever 💕✈️💺 #TrueBluePoints #jetbluemember
397,"@AmericanAir Telling frustrated customers ""we are super busy, please call back Late Flightr kthxbai"" and then hanging up is not the best practice."
398,"@USAirways thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed..."
399,"@shannonwoodward If you want, we can keep you updated on who's wearing who, &amp; who's with who, &amp; who wins what. We're nice like that. ;)"
400,"@united After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation.."
401,"@JetBlue @ABCNetwork please give JetBlue all the permissions in the world! I'm missing the oscars right now, and it's awful #whyabcwhy"
402,@USAirways testing my patience this evening (or shall I say morning?). We waited an hour at the gate for you to find a gate agent.  130am
403,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.
404,@AmericanAir arrived in lax from ord flight AA1657 NO LUGGAGE
405,@SouthwestAir is there any chance I could get tickets to the #DestinationDragons show in Vegas? Ive been a huge fan for years! Pretty please
406,.@AmericanAir just disappointed with the Flight Booking Problems process and add’l fees to sit together on a more crowded flight. Not impressed so far :-/.
407,@united with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport
408,@united if I wait I'll lose the flight. So frustrating.
409,@JetBlue so you guys lost my bag that had all my ski gear in it. I flew here from NYC to ski. Should I buy new stuff tomorrow? ...
410,@united now this http://t.co/uygeW2Nosr
411,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice
412,"@americanair hi, you Cancelled Flightled our flight back to the US and now won't take our call. What are we supposed to do?"
413,@SouthwestAir your welcome. It was the thoughts of nearly the entire plane.
414,@AmericanAir Filed a PIR with an agent at Indianapolis airport. Unable to pull up information online on your site. Have DMed details.
415,"@SouthwestAir thanks, already subscribe and have a RR Account. Had received a promo code last month but has since expired. Any new offers?"
416,@SouthwestAir Being old I will miss my connection and can sleep at OAK or get a hotel on my own dime rubs me the wrong way. I wasn’t Late Flight.
417,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united
418,@SouthwestAir Bad enough that there is no seat assigned he's  seating at an exit seat and a male flight attendant removes him from there
419,"@jetblue Havana, Cuba - To share my love of photography and leave pictures behind, as well as to deliver much-needed items. #flyingitforward"
420,"@AmericanAir i want to change my flight for next week, they will still charge me. Waiting for fligt status"
421,@united ok thanks. I sent you a DM too. You can disregard that.
422,@AmericanAir love how you can't get an agent on the phone and the automated system hangs up on you
423,@AmericanAir ...2/2 doesn't help me.
424,@united very missed daughter suppose to dpt ORD @5:59pm - dpted  8:30pm -checked week's average for UA3645 -shameful!  7 day average 7:54pm
425,@SouthwestAir I would be eternally grateful for tickets to the Vegas show ( ͡° ͜ʖ ͡°) God bless
426,@JetBlue Received an invitation to participate in e-rewards. Is this legit from JetBlue? Just double checking bc the site looked different.
427,"@united Was on NH10 on United ticket, rerouted to IAD due to weather in JFK. Can you get us home on United 5713 or 3277?"
428,@united to start 3xweekly #B737-900 flights from #NewOrleans to #Cancun on between 9MAY-5SEP #avgeek
429,"@JetBlue 2 hour delay while sitting on the plane and you still wanna charge me for beer? Nah, I'm good."
430,@united thanks
431,"@JetBlue ""Do what you love and you'll never work a day in your life."" 😊"
432,"@AmericanAir You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous."
433,@JetBlue thanks but still annoying. Especially if I miss my flight. 😉 Can I tweet at the TSA??
434,@SouthwestAir I never got my flight confirmation. I've been on hold for an hour and I can't get info online. What am I to do?
435,"@JetBlue I want to add, my flight to Mexico was on Air Canada. Same exact situation, but with none of the problems I've had with Jet Blue."
436,@USAirways delayed depart bc ur flight attendant wasn't there. Then after landing took 3 hrs to get a gate. Now it's another he and NO bags
437,@SouthwestAir still planing on flights into Dal? We are trying to fly in tomorrow from lax
438,@united seriously? 2-4 hrs to get bags from IAD intl arvls to carousel 2 for custs w/Cancelled Flightled connects? I understand irrops but ridiculous!
439,@SouthwestAir Any way that I can get a receipt for a Cancelled Flightled portion of a roundtrip flight? Used the flight voucher just need receipt.
440,@JetBlue I'd go to Australia to enjoy the land down under! Always been on my bucket list! #FlyingItForward
441,"@USAirways 4+ hour hold, finally Cancelled Flighted ticket! sticking to @delta @Expedia who allow easy online Cancelled Flights/refunds! http://t.co/RKVCZBpdCE"
442,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
443,@AmericanAir Phone just disconnects if you stay on the line. Need to checkout of hotel in 2 hrs &amp; have no place to go. Can't keep calling.
444,@united this 2 hr delay is a vacation buzzkill
445,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
446,"@AmericanAir said that AA does not provide in-flight wifi on the routes to China based on some federal laws, but United does, why is that?"
447,@SouthwestAir 2 bags fly free!  So what's with all the carry-on's? #packingayak @BrianReganComic
448,@united it's not there we tried. It's already here in cancun just no one has delivered it
449,. @USAirways It's been Cancelled Flighted. Your SM response is slow.
450,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?
451,@united I suppose your customers enjoy screaming toddlers then. Not my problem if someone complains!
452,@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.
453,Lol great answer.. “@AmericanAir: @JayFranceschi Our agents are checking in passengers as quickly as possible. We appreciate your patience.”
454,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!"
455,@SouthwestAir you guys are so amazing for sending people to meet Imagine Dragons #DestinationDragons 😋
456,@SouthwestAir Flight Booking Problems all my Late Flight summer travel! Did the AUS-CUN direct flight disappear?
457,"@USAirways more lies, they said in their email we were delayed due to weather when the sky was clear in the city we were departing."
458,@USAirways please keep Emily at you gso airport ticketing on staff she is amazing
459,@AmericanAir Thanks! Great stuff! I can only imagine how jammed everything is.
460,"@united thanks, we did."
461,@USAirways great but that still does not help me..
462,@jetblue had me on hold foreverrrrrr
463,"@djevolutionhd As an EP who travels 125K+ miles a yr with @AmericanAir , I would expect more from them than this horrible travel experience"
464,@AmericanAir ok thank you!
465,@VirginAmerica thanks!
466,"@SouthwestAir thanks for the b day concert I watched them all (and noticed the fist bump/high five at the end of the ""rock"" version)"
467,"@united A very disappointing experience - plane mech. delay and next one didn't wait. No sincere apology, just told me to complain online"
468,"@SouthwestAir  Tried to DM you, it won't let me as it says you are not following me."
469,@USAirways claimed my flight Cancelled Flighted because PHL runway not good but Delta flight at same exact time is taking off on time.
470,@SouthwestAir Thank you - hung up after 1hr 7min on hold. Would you like me to DM you contact info?
471,@united on a flight to New York! Love the quality planes on United!! #WTF #crappy #aviation #NewYork http://t.co/zv6CfPoHl5
472,@JetBlue why do you have every channel but @ABCNetwork How are @kgonzales89 and I supposed to watch Scandal? But free FlyFi is sweet!
473,@united A 3rd party service you use to sell your tickets has ripped me off. Excellent service United is offering.
474,@USAirways on hold 3 hours !!!!!! What's the number to speak to someone this is unacceptable I need to change flights
475,"@AmericanAir I'm trying my hardest to not get frustrated, but I am getting no response on email or by phone. AA owes me $500. How do I claim"
476,"“@united: @ItsAaronChriz Sorry to hear about your flight. Do you need help reFlight Booking Problems?”

👎"
477,@JetBlue on the plane now!  Hopefully no longer at the mercy of the playlist!  Thanks!
478,@USAirways Call volumes are high so the best answer is to hang up on me?
479,@JetBlue flight 98 DEN to JFK already 2hrs delayed. Any idea how that might change again due to weather forecast etc?
480,@united its in black and white. EU law and all that €600 for a Cancelled Flightled flight. I want my money
481,@SouthwestAir  what is the status on flight#122 STL-AUS?
482,@JetBlue 😭 I used points can I get them back if I decide not to go?
483,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away."
484,@USAirways can I bring mini bottles of booze on to my flight?
485,@VirginAmerica adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC
486,@united what's the status of flight 1008 Bogotá-Houston?
487,"“@SouthwestAir: @pancho_joe No, no, you must've heard us wrong. Sweet mixtape,though"" 4 the record,I didn't leave the 80's, the 80's left me"
488,"@JetBlue Great flight, as always! Thank you to the great crew on flight 475! #travel #jetblue"
489,@USAirways - First impressions are hard to reverse.  A horrible first experience with you.  Will never fly with you again!!!
490,@USAirways. R U aware your wait time to talk to a sales agent is always 30-60 minutes? Unacceptable. At least employ a call back feature!
491,@united an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever
492,@SouthwestAir Why doesn't mean TSA PreCheck show up on my mobile boarding pass? My KTN is linked to my account.
493,@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?
494,@SouthwestAir Thanks to your team for dealing with Flight 1700 to Houston.
495,@AmericanAir right so I missed my connection / had a three hour Kay over / then you lost my bag.
496,@united I'm a minor and freaking out bc I might not make my connecting flight to Hawaii so yes I'm frustrated
497,"@USAirways That's 1h 10m waiting to get my bag, 1h40m of flight delays, plus the 2hrs of delay I had on the way out. Never flying you again."
498,"@AmericanAir So break whatever you want, take no responsibility..Too bad for customer? #media #filmcrew @chicagotribune @WSJ #nytimes @CNN"
499,"@AmericanAir 1491 DEN -&gt; DFW. We don't want to be ticketed on a new flight, just refunded for our Cancelled Flighted flight."
500,@united I'm on UA1118 and my direct tv isn't working.  How do I avoid this in future?
501,@USAirways Dude named Shaquille at the desk in Charlotte was incredibly professional and helpful vs. some crazy angry people tonight
502,@USAirways horrible cust service exp at DIA today. Wife waited 3 hrs on the plane b/f flight 695 was Cancelled Flightled. Still waiting for bags.
503,@USAirways @corybronze  INCONVENIENCE? Are you people freaking nuts? This guy has TWO KIDS WITH HIM and you STRAND him in an airport! #FAIL
504,@SouthwestAir Engadget Theverge Wired reddit
505,@united you can read the full story when I submit a case to your team about the pilot of flight 6232 and why we are sleeping in DIA
506,@united false.
507,@AmericanAir 2hr and 20 min delayed...still waiting...you need to do something to improve... http://t.co/1m36NTPTR8
508,@united Really....you charge me $25 to check a bag and then you put it on a different flight....still Don't have my bag!!!
509,@united was forced  to book a flight on a different date than originally planned for a higher price $1130 felt like a bait and switch tactic
510,@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy
511,@SouthwestAir why was Southwest only airline to Cancelled Flight all flights from Charleston? Was 7:50pm flight Cancelled Flightation really weather reLate Flightd?
512,@USAirways congrats on treating your customers the worst way possible. I know plenty of other ppl who have had horrible experience w you too
513,"@JetBlue @JayVig YES! Great real-time example. Thanks for being awesome, #JetBlue! #JVMChat"
514,@SouthwestAir here we go again. Delayed in Chicago why offer the 630 flight if you never intend to fly it
515,@JetBlue last week I bought a plane ticket round trip to FL &amp; just 4 fun I look at the price of them today and they went down! #nothappy
516,@AmericanAir terror story my luggage was delayed both ways on an international flight for over 5 days total #angrycustomer
517,@USAirways seriously!!!  Flight Cancelled Flighted. Auto rebooked to Tuesday??? Then 3hr 26min on hold for nothing. Renting car. Want refund!!!!
518,“@JetBlue: Our fleet's on fleek. http://t.co/LSYbgLF59j” let's keep it professional
519,"@USAirways I hope so, too. Thank you for your help. She traveled halfway across the globe and just wants her suitcase."
520,@united I tried 2 DM it would not go thru... not sure why
521,@united flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other
522,@united can't believe United can't find someone to just simply check a seat back for a missing passport. Loved United but debating choice
523,@united why do you want me to be loyal  if don't let me carry on my bag that easily fits in overhead
524,@united - we're sitting in UA1088 getting delayed because the operations can't find captain. #ridiculous #united
525,@united if I miss the #Oscars I'll never fly united again
526,"@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED"
527,@AmericanAir I know.  After an hour I got a live person.  It messes up our arrival and car plans at two airports and is costing us more.
528,@AmericanAir aftr 10 hrs bng held hstg at mia bc aa refsd to get med bags. bag fnd aa then refsd to fix tkts they cnceld said $360 to fly
529,@SouthwestAir if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass?
530,"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek"
531,@USAirways IT HAS BEEN FOUND THANK YOU
532,"@USAirways while I’m asking… 2 of my 11 non upgraded flights, Attendants came &amp; greeted me &amp; thanked me for my business b/c I was Exec Plat."
533,@AmericanAir so great AA1103 sitting for an hour first technical problems now what?
534,@united Thanks. It is on the same ticket.
535,@united will do. Thank you!
536,"@SouthwestAir , please explain to me why every other flight to Dallas is going out today except the 6:35 pm?????"
537,@USAirways I'm sick of living in an airport!! #getittogether
538,"@JetBlue yes, well they are operating outside of your terminal and targeting vulnerable passengers. No better than thieves."
539,@united it's kinda funny. No worries.
540,"@JetBlue - I did, but since I was stranded in SYR without a ride I missed the window of opportunity to have rights in this matter. (4 hours)"
541,“@USAirways: @ch_mom Please reach out to our crewmember for assistance. Our apologies for the long wait.” #generic
542,@united how can a plane that has been sitting in a hanger all day have numerous mechanical problems. Doesn't anyone actually do maintenance
543,"@JetBlue Are you having any issues with online check-in? My colleague and I are getting ""Webpage not available"" after submitting online form"
544,"@USAirways should, but didn’t."
545,@united Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already...
546,@JetBlue my wife sent me a family invite but I never accepted it. She should not be locked into a family account that never got created.
547,"@USAirways so i ask for ice and the attendant snaps ""i dont have ice on this cart"" not 5 min Late Flightr 2 cups of ice to the people 2 rows ahead."
548,"@AmericanAir That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this."
549,@USAirways why I can't book a flight to PRN through your website?
550,"@USAirways , since jan 22 have been on 10 flights. Why the disrespect in CLT, flt #2063 at 2:50pm on 18feb to DCA? just asked herba question"
551,@united give her the recognition she deserves!
552,"@united DTV doesnt work, pilots Late Flight, wont let 10yr old fly next 2 me and I paid 4 an upgrade. #unitedsucks"
553,@JetBlue with the free wifi #impressive #FlyFi http://t.co/T1RYpzEBc8
554,@USAirways I left something on a recent flight today. Who do I contact to retrieve it please? Thanks!
555,"@AmericanAir FYI twice now I've tried the ""we'll call you when someone is free"" thing. Both times it called, I picked up, then it hung up."
556,@AmericanAir @cheerUPDATES So you're saying the call center is understaffed?
557,.@united board customers onto a plane with no pilot? The only thing that expedited was my time in line to book a new flight. Come on now.
558,@USAirways are the bags off Flight 1898 CLT to JFK? We landed last night just before midnight.
559,"@SouthwestAir I had to travel to Savannah, GA, once again, on an airline I don't ""Luv"". When r u going to fly me to Savannah? Pleeeease!!!!"
560,@AmericanAir work on the comm skills w hate agents at PHX. Said I was confirmed on flight out of DFW &amp; got here and that was only standby.
561,@AmericanAir #AmericanAirlines on approach to mex.... http://t.co/se57dmjHiW
562,@SouthwestAir 2nd leg of trip Cancelled Flightled. Been on hold 1.5 hrs. Will we lose our $ if we don't speak to someone before first flight leaves?
563,@united not for me.  I am on another Ua flight 2 gates down that was held 15 mins for cnx pax.
564,@USAirways How dirty does the damn plane have to be to take an hour to get the plane cleaned??? Refund me my miles😡. #wasteoftime #theworst
565,@AmericanAir not in any way that I am happy with or find acceptable.   If I could speak to a human maybe that would happen
566,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!
567,@united followed &amp; DM'd.
568,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
569,@united with Karen and found her unhelpful and rude  called United at the time &amp; told she could board but Karen would not accept
570,"@AmericanAir third you lost her bag &amp; after 50 mins of being on hold you told her she would ""eventually get her bag"" completely unacceptable"
571,"@JetBlue @JetBlueCheeps My friend bought a ticket last night for one of these routes from you, and it cost way more. Can you help?”"
572,@JetBlue you got yourselves hot ladies flying the air for life #loyal
573,@AmericanAir I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃
574,@VirginAmerica everything was fine until you lost my bag
575,"@AmericanAir @praywinn between understaffing, what looks like a labor slowdown, weather, incompetence, and disregard for the customer..."
576,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
577,@USAirways cannot add my frequent flyer number on your website.  Can you help?
578,@AmericanAir I was worried when my bag went SAN to DCA 24 hours before me. But our reunion was an organized  breeze! http://t.co/uOARyQ98PU
579,@USAirways Are you guys awake? Need help with delayed flight to get protected on Late Flightr flight from PHL.
580,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load."
581,@united  #UnitedAirlines  how long will1531 be delayed.
582,@JetBlue Whoa! No tag and you still saw my tweet. Flight 105 JFK to Chicago. Trying to get home to see my little brother wrestle!
583,@JetBlue I clear that folder regularly and JetBlue is white listed so it never got to me.
584,"@SouthwestAir disappointed with customer service right now, my flight was only one Cancelled Flightled at my airport &amp; now I'm losing 2 days from trip"
585,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
586,@AmericanAir yes....twice...for two different flights and occasions
587,@SouthwestAir I cannot DM you as you do not follow me.
588,@SouthwestAir have been doing that for hours already
589,"@AmericanAir That's good, I'd expect that but I can't get through on the phone to make any changes. Can I change it online?"
590,"@USAirways now I am on flight to FLL, and told to take a train back to PBI to get my car. There are no trains to PBI!"
591,"@SouthwestAir thanks for your attention, I've been flying southwest for 3 years and haven't had this issue in the past."
592,"@JetBlue is JFK still closed? Tryna get out of Ft Lauderdale on flight 502, just want to get home to nyc!"
593,@SouthwestAir sent
594,@united am I allowed to bring a duffle bag and back pack as my carry on and personal item? Flying out of NY
595,"@JetBlue no one yet but some, fl 8162"
596,@united the wait time for a baggage question is 60 minutes that's crazy is there a limit to the amount of bags I can bring internationally
597,"@SouthwestAir Secondly, we did not begin boarding on time despite our aircraft being present and deplaned. Thus we left over 30 min Late Flight"
598,@united I flew back w other company since United didnt have an earlier flight
599,"@JetBlue here's part: was at bag drop inserted my JetBlue cc, didn't print pass. Agent standing in front of me refused to print my pass"
600,@SouthwestAir finally got through. Thanks!
601,@united boarding time shows 35 min and your gate agent started at 45. showed up at 4:00 and they had to check bag. http://t.co/zCBJyo6lsN
602,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United
603,@SouthwestAir  on hold with customer service; you may be quicker.  I rebooked trip for a lower fare.  Where did the difference in $ go?
604,@SouthwestAir Adding RR number to a @Marriott stay is too hard. Won't take RR number at checkin/out and Marriott phone CS not helpful.
605,@SouthwestAir quick question: let's say I book a flight (I did so) and you then drop the price. Do I get the cheaper rate?
606,@united I trust you enough to put my coat in my checked bag!
607,@USAirways quit being cheap and hire some call center employees. It shouldn't take half a day to call you
608,"@JetBlue if I had my tux, it'd be a date! #UMosaicMeCrazy http://t.co/hap4gboSTU"
609,@JetBlue you don't remember our date Monday night back to NYC? #heartbroken
610,@AmericanAir which one.?i have been booked on 6 different ones in the past 2 days
611,@united - Thanks. Formed submitted. I'm not betting someone would be honest enough to turn it in though...
612,"@USAirways stranded @Ernie_Vigil Phoenix w/ broken foot.  Both my flights f'd, Sunday for ""sickcrew"".  Cancelled Flighted my mechanics flight today."
613,@AmericanAir flight 3056 in D/FW now delayed 2 hours waiting sitting in plane for baggage to be loaded - why?
614,@united Yes I needed plenty of assistance but received none.
615,"@AmericanAir Thanks, both airlines said that it is located at AA Detroit. Also was informed that it flew with AA, which shouldn't matter."
616,@VirginAmerica Very nicely done. 👏
617,"@united even after running to gate from your connecting flight, your customer service not let us in the plane that was just parked. Stranded"
618,@SouthwestAir @Imaginedragons please help me and my best friend get tickets to #DestinationDragons we have so much to thank them for....
619,@JetBlue is flt 1202 delayed?
620,@united feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL
621,@AmericanAir Nicest people ever flight to Chicago.Thanks David Deane &amp; Norma Sedholm for making me feel comfortable ✈️✈️✈️✈️✈️✈️✈️
622,@united can you not see the thread?
623,"@united you mean like my mailing address and rate? By the surliness of my United ""coworkers"" I'm guessing our benefits aren't great."
624,“@JetBlue: @Analystdoc Unfortunately that's not an available option with our current system. Sorry guys. That's a certain #fail Fix it plz.
625,@AmericanAir Flight Cancelled Flighted and rebooked but agent made a mistake and booked wrong date! Been trying to get through via phone for hours!!
626,@SouthwestAir too Late Flight now
627,@USAirways they had to turn the seat cushions over and clean the area. Please explain this issue?
628,@AmericanAir anything you can do?
629,@USAirways hey!!  Yeah last time I got a phone call when flight was Cancelled Flightled from DCA to BOS
630,“@JetBlue: Our fleet's on fleek. http://t.co/JMnkJ6Bmc2” Jet Blizzue in the hizouse.
631,@united I did DM the details back on 02/14 when this started with phone number to reach me no reply either online or by phone
632,"@AmericanAir You've misunderstood. @USAirways WOULD NOT do a same day flight change for me. The gate agent said, ""NO."""
633,@AmericanAir @dfwairport you 2 together are the best part of flying!
634,@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags
635,"@AmericanAir I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface"
